C,Time,mean,TRUE,Illum,SUN X,SUN Y,SUN Z,Planet,Vector,Orbit,Radius,,,,Delta T
C,0,0,0,sun,-0.039,0.403,0.914,0,0,-1.000>,1,,0.0,,
C,86400,0,0,sun,-0.25,0.391,0.886,0,0,-1.000>,1,,24.0,,24.0
C,172800,0,0,sun,-0.448,0.361,0.818,0,0,-1.000>,1,,48.0,,24.0
C,259200,0,0,sun,-0.627,0.315,0.713,0,0,-1.000>,1,,72.0,,24.0
C,345600,0,0,sun,-0.777,0.254,0.575,0,0,-1.000>,1,,96.0,,24.0
C,432000,0,0,sun,-0.893,0.182,0.412,0,0,-1.000>,1,,120.0,,24.0
C,518400,0,0,sun,-0.968,0.102,0.231,0,0,-1.000>,1,,144.0,,24.0
C,604000,0,0,sun,-0.999,0.018,0.04,0,0,-1.000>,1,,167.8,,23.8
C,648000,0,0,shade,-0.998,-0.026,-0.059,0,0,-1.000>,1,,180.0,,12.2
C,691200,0,0,shade,-0.985,-0.069,-0.155,0,0,-1.000>,1,,192.0,,12.0
C,777600,0,0,shade,-0.927,-0.151,-0.342,0,0,-1.000>,1,,216.0,,24.0
C,864000,0,0,shade,-0.827,-0.227,-0.514,0,0,-1.000>,1,,240.0,,24.0
C,950400,0,0,shade,-0.69,-0.292,-0.662,0,0,-1.000>,1,,264.0,,24.0
C,1.04E+06,0,0,shade,-0.522,-0.344,-0.78,0,0,-1.000>,1,,288.0,,24.0
C,1.12E+06,0,0,shade,-0.33,-0.381,-0.864,0,0,-1.000>,1,,312.0,,24.0
C,1.21E+06,0,0,shade,-0.123,-0.401,-0.908,0,0,-1.000>,1,,336.0,,24.0
C,1.30E+06,0,0,shade,0.089,-0.402,-0.911,0,0,-1.000>,1,,360.0,,24.0
C,1.38E+06,0,0,shade,0.298,-0.385,-0.873,0,0,-1.000>,1,,384.0,,24.0
C,1.47E+06,0,0,shade,0.492,-0.351,-0.796,0,0,-1.000>,1,,408.0,,24.0
C,1.56E+06,0,0,shade,0.665,-0.302,-0.683,0,0,-1.000>,1,,432.0,,24.0
C,1.64E+06,0,0,shade,0.808,-0.238,-0.539,0,0,-1.000>,1,,456.0,,24.0
C,1.73E+06,0,0,shade,0.914,-0.164,-0.371,0,0,-1.000>,1,,480.0,,24.0
C,1.81E+06,0,0,shade,0.979,-0.082,-0.186,0,0,-1.000>,1,,504.0,,24.0
C,1.86E+06,0,0,shade,0.995,-0.04,-0.09,0,0,-1.000>,1,,516.0,,12.0
C,1.90E+06,0,0,sun,1,0.003,0.007,0,0,-1.000>,1,,528.0,,12.0
C,1.99E+06,0,0,sun,0.976,0.088,0.2,0,0,-1.000>,1,,552.0,,24.0
C,2.07E+06,0,0,sun,0.908,0.17,0.384,0,0,-1.000>,1,,576.0,,24.0
C,2.16E+06,0,0,sun,0.798,0.243,0.551,0,0,-1.000>,1,,600.0,,24.0
C,2.25E+06,0,0,sun,0.653,0.306,0.693,0,0,-1.000>,1,,624.0,,24.0
C,2.33E+06,0,0,sun,0.479,0.355,0.803,0,0,-1.000>,1,,648.0,,24.0
C,2.36E+06,0,0,sun,0.417,0.367,0.831,0,0,-1.000>,1,,655.7,,7.7
C,2.55E+06,0,0,sun,-0.033,0.404,0.914,0,0,-1.000>,1,,708.0,,52.3
